zip,vertical,keyword,searchVolume,keywordDifficulty,cpc
06103,hvac-repair,"hvac repair hartford",240,39,9.64
06103,roofing-replacement,"roofing replacement hartford",208,34,12.91
06103,garage-door-repair,"garage door repair hartford",81,21,4.17
72201,water-damage-restoration,"water damage restoration little rock",74,25,13.18
72201,hvac-repair,"hvac repair little rock",345,30,12.19
72201,roofing-replacement,"roofing replacement little rock",375,36,15.01
72201,garage-door-repair,"garage door repair little rock",135,16,4.39
99201,water-damage-restoration,"water damage restoration spokane",62,30,15.77
99201,hvac-repair,"hvac repair spokane",331,30,9.64
99201,roofing-replacement,"roofing replacement spokane",324,34,15.09
99201,garage-door-repair,"garage door repair spokane",140,22,5.32
50309,water-damage-restoration,"water damage restoration des moines",98,28,16.89
50309,hvac-repair,"hvac repair des moines",243,41,12.76
50309,roofing-replacement,"roofing replacement des moines",213,37,18.86
50309,garage-door-repair,"garage door repair des moines",136,14,4.05
53703,water-damage-restoration,"water damage restoration madison",111,27,14.47
53703,roofing-replacement,"roofing replacement madison",377,32,15.87
53703,garage-door-repair,"garage door repair madison",113,11,4.47
37402,water-damage-restoration,"water damage restoration chattanooga",119,32,14.47
37402,hvac-repair,"hvac repair chattanooga",266,23,8.72
37402,roofing-replacement,"roofing replacement chattanooga",379,31,15.2
37402,garage-door-repair,"garage door repair chattanooga",148,20,4.37
29201,water-damage-restoration,"water damage restoration columbia",78,26,12.08
29201,hvac-repair,"hvac repair columbia",332,42,11.78
29201,roofing-replacement,"roofing replacement columbia",276,36,14.24
29201,garage-door-repair,"garage door repair columbia",116,17,5.23
39201,water-damage-restoration,"water damage restoration jackson",81,28,13.83
39201,hvac-repair,"hvac repair jackson",258,34,9.44
39201,roofing-replacement,"roofing replacement jackson",339,36,18
39201,garage-door-repair,"garage door repair jackson",82,16,4.19
58102,water-damage-restoration,"water damage restoration fargo",114,25,14.22
58102,hvac-repair,"hvac repair fargo",307,25,8.41
58102,roofing-replacement,"roofing replacement fargo",300,29,19.48
58102,garage-door-repair,"garage door repair fargo",108,14,5.3
57104,water-damage-restoration,"water damage restoration sioux falls",94,28,16.37
57104,hvac-repair,"hvac repair sioux falls",347,22,8.26
57104,roofing-replacement,"roofing replacement sioux falls",368,36,17.2
57104,garage-door-repair,"garage door repair sioux falls",78,15,4.34
82001,water-damage-restoration,"water damage restoration cheyenne",109,28,11.42
82001,hvac-repair,"hvac repair cheyenne",221,33,12.27
82001,roofing-replacement,"roofing replacement cheyenne",349,38,16.95
82001,garage-door-repair,"garage door repair cheyenne",138,24,5.51
99501,water-damage-restoration,"water damage restoration anchorage",112,27,11.87
99501,roofing-replacement,"roofing replacement anchorage",208,33,18.04
99501,garage-door-repair,"garage door repair anchorage",93,25,6.17
96813,water-damage-restoration,"water damage restoration honolulu",104,32,12.2
96813,hvac-repair,"hvac repair honolulu",784,20,13.5
96813,roofing-replacement,"roofing replacement honolulu",809,54,33.75
96813,garage-door-repair,"garage door repair honolulu",284,22,8.09
