zip,city,state,lat,lon,confidenceNote
92503,Riverside,CA,33.882884,-117.451725,census_acs5_population_real
93307,Bakersfield,CA,35.24512,-118.9411,census_acs5_population_real
11212,New York,NY,40.662905,-73.913071,census_acs5_population_real
92345,Hesperia,CA,34.360972,-117.313039,census_acs5_population_real
78521,Brownsville,TX,25.943923,-97.317944,census_acs5_population_real
60632,Chicago,IL,41.810166,-87.713252,census_acs5_population_real
11234,New York,NY,40.607723,-73.910649,census_acs5_population_real
78666,San Marcos,TX,29.881662,-97.984794,census_acs5_population_real
85142,Queen Creek,AZ,33.192391,-111.66594,census_acs5_population_real
10456,New York,NY,40.830669,-73.908161,census_acs5_population_real
73099,Oklahoma City,OK,35.518409,-97.766172,census_acs5_population_real
99301,Pasco,WA,46.377835,-118.951726,census_acs5_population_real
75035,Frisco,TX,33.166306,-96.775635,census_acs5_population_real
78542,Linn,TX,26.432513,-98.089884,census_acs5_population_real
60647,Chicago,IL,41.921042,-87.701971,census_acs5_population_real
37042,Clarksville,TN,36.569339,-87.411845,census_acs5_population_real
30024,Suwanee,GA,34.063485,-84.0911,census_acs5_population_real
91911,Chula Vista,CA,32.607352,-117.05036,census_acs5_population_real
75217,Dallas,TX,32.712583,-96.682045,census_acs5_population_real
60639,Chicago,IL,41.920598,-87.755942,census_acs5_population_real
93722,Fresno,CA,36.799747,-119.87762,census_acs5_population_real
92376,Rialto,CA,34.110537,-117.380021,census_acs5_population_real
22193,Dale City,VA,38.644065,-77.350545,census_acs5_population_real
93727,Fresno,CA,36.751612,-119.695397,census_acs5_population_real
11377,New York,NY,40.744775,-73.90516,census_acs5_population_real
96706,East Kapolei,HI,21.344782,-158.022298,census_acs5_population_real
92804,Anaheim,CA,33.81801,-117.975193,census_acs5_population_real
95823,Sacramento,CA,38.474726,-121.442636,census_acs5_population_real
60804,Cicero,IL,41.840164,-87.759916,census_acs5_population_real
77379,Houston,TX,30.039457,-95.534383,census_acs5_population_real
92154,San Diego,CA,32.579101,-116.966528,census_acs5_population_real
79928,Horizon City,TX,31.678635,-106.115148,census_acs5_population_real
11233,New York,NY,40.678301,-73.919932,census_acs5_population_real
34953,Port St. Lucie,FL,27.24968,-80.383236,census_acs5_population_real
95076,Interlaken,CA,36.945781,-121.756058,census_acs5_population_real
11235,New York,NY,40.58422,-73.943167,census_acs5_population_real
27587,Wake Forest,NC,35.980838,-78.55105,census_acs5_population_real
84043,Lehi,UT,40.411552,-111.87428,census_acs5_population_real
76063,Mansfield,TX,32.57074,-97.144837,census_acs5_population_real
60608,Chicago,IL,41.84688,-87.670664,census_acs5_population_real
77407,Houston,TX,29.670004,-95.708089,census_acs5_population_real
11204,New York,NY,40.618815,-73.984942,census_acs5_population_real
77459,Missouri City,TX,29.526393,-95.533799,census_acs5_population_real
92592,Temecula,CA,33.510939,-117.021505,census_acs5_population_real
93033,Oxnard,CA,34.160093,-119.135801,census_acs5_population_real
93535,Lancaster,CA,34.698392,-117.889945,census_acs5_population_real
92704,Santa Ana,CA,33.721131,-117.90511,census_acs5_population_real
28269,Charlotte,NC,35.337313,-80.803472,census_acs5_population_real
91710,Chino,CA,34.005097,-117.682525,census_acs5_population_real
27610,Raleigh,NC,35.7444,-78.546278,census_acs5_population_real
92509,Jurupa Valley,CA,34.003266,-117.442004,census_acs5_population_real
94112,San Francisco,CA,37.720546,-122.443166,census_acs5_population_real
93550,Palmdale,CA,34.410334,-118.059957,census_acs5_population_real
78577,Pharr,TX,26.163436,-98.19389,census_acs5_population_real
10468,New York,NY,40.86894,-73.899995,census_acs5_population_real
11229,New York,NY,40.601293,-73.944493,census_acs5_population_real
11355,New York,NY,40.751435,-73.821227,census_acs5_population_real
30040,Cumming,GA,34.223434,-84.17644,census_acs5_population_real
28027,Concord,NC,35.413317,-80.67547,census_acs5_population_real
10457,New York,NY,40.845707,-73.897923,census_acs5_population_real
93257,Porterville,CA,35.980858,-118.889315,census_acs5_population_real
60617,Chicago,IL,41.714417,-87.555761,census_acs5_population_real
93274,Tulare,CA,36.177934,-119.379975,census_acs5_population_real
79912,El Paso,TX,31.848583,-106.534316,census_acs5_population_real
98052,Redmond,WA,47.682254,-122.12045,census_acs5_population_real
30052,Loganville,GA,33.817047,-83.897315,census_acs5_population_real
95747,Roseville,CA,38.778421,-121.368829,census_acs5_population_real
78254,San Antonio,TX,29.530564,-98.72718,census_acs5_population_real
10458,New York,NY,40.862486,-73.886448,census_acs5_population_real
76028,Burleson,TX,32.532677,-97.306547,census_acs5_population_real
30349,South Fulton,GA,33.622488,-84.523908,census_acs5_population_real
11223,New York,NY,40.597091,-73.973469,census_acs5_population_real
94533,Fairfield,CA,38.280745,-122.00638,census_acs5_population_real
95035,Milpitas,CA,37.440397,-121.874693,census_acs5_population_real
60625,Chicago,IL,41.973081,-87.699751,census_acs5_population_real
10453,New York,NY,40.852508,-73.913291,census_acs5_population_real
91744,La Puente,CA,34.0313,-117.936777,census_acs5_population_real
91709,Chino Hills,CA,33.942969,-117.725648,census_acs5_population_real
78572,Mission,TX,26.201484,-98.357159,census_acs5_population_real
91910,Chula Vista,CA,32.637096,-117.061758,census_acs5_population_real
95630,Folsom,CA,38.662781,-121.140107,census_acs5_population_real
92563,Murrieta,CA,33.580016,-117.14736,census_acs5_population_real
80134,Parker,CO,39.48283,-104.780001,census_acs5_population_real
66062,Olathe,KS,38.838296,-94.784409,census_acs5_population_real
90706,Bellflower,CA,33.887821,-118.12725,census_acs5_population_real
92126,San Diego,CA,32.91199,-117.143421,census_acs5_population_real
37211,Nashville-Davidson metropolitan government (balance),TN,36.067017,-86.723419,census_acs5_population_real
75126,Forney,TX,32.742601,-96.452883,census_acs5_population_real
60623,Chicago,IL,41.847101,-87.717611,census_acs5_population_real
37128,Murfreesboro,TN,35.803224,-86.474647,census_acs5_population_real
11203,New York,NY,40.649569,-73.934327,census_acs5_population_real
10452,New York,NY,40.837791,-73.923339,census_acs5_population_real
94544,Hayward,CA,37.633507,-122.056772,census_acs5_population_real
76179,Fort Worth,TX,32.909919,-97.434281,census_acs5_population_real
00725,Caguas zona urbana,PR,18.220689,-66.03958,census_acs5_population_real
87121,Pajarito Mesa,NM,35.017046,-106.888308,census_acs5_population_real
98012,Mill Creek,WA,47.841376,-122.198939,census_acs5_population_real
97229,Bethany,OR,45.549242,-122.809952,census_acs5_population_real
33024,Pembroke Pines,FL,26.026358,-80.244633,census_acs5_population_real
77346,Atascocita,TX,29.991995,-95.177268,census_acs5_population_real
10002,New York,NY,40.715969,-73.986895,census_acs5_population_real
92880,Eastvale,CA,33.92539,-117.607254,census_acs5_population_real
10462,New York,NY,40.843267,-73.860417,census_acs5_population_real
11375,New York,NY,40.722975,-73.843179,census_acs5_population_real
33411,Royal Palm Beach,FL,26.715201,-80.203797,census_acs5_population_real
23464,Virginia Beach,VA,36.796917,-76.187631,census_acs5_population_real
30041,Cumming,GA,34.196222,-84.096676,census_acs5_population_real
76244,Fort Worth,TX,32.927979,-97.276559,census_acs5_population_real
89031,North Las Vegas,NV,36.258457,-115.170743,census_acs5_population_real
33647,Tampa,FL,28.151887,-82.318179,census_acs5_population_real
63376,St. Peters,MO,38.800744,-90.61215,census_acs5_population_real
10029,New York,NY,40.792249,-73.947333,census_acs5_population_real
77083,Mission Bend,TX,29.693991,-95.64783,census_acs5_population_real
91335,Los Angeles,CA,34.200175,-118.540958,census_acs5_population_real
80013,Aurora,CO,39.661462,-104.765764,census_acs5_population_real
45011,Hamilton,OH,39.426575,-84.497637,census_acs5_population_real
77845,College Station,TX,30.5611,-96.275139,census_acs5_population_real
89108,Las Vegas,NV,36.205088,-115.223683,census_acs5_population_real
83646,Meridian,ID,43.649585,-116.431758,census_acs5_population_real
33025,Miramar,FL,25.988183,-80.281394,census_acs5_population_real
60634,Chicago,IL,41.946189,-87.806117,census_acs5_population_real
92805,Anaheim,CA,33.830053,-117.905683,census_acs5_population_real
47906,West Lafayette,IN,40.479649,-86.989218,census_acs5_population_real
10466,New York,NY,40.890964,-73.846239,census_acs5_population_real
85326,Buckeye,AZ,33.229169,-112.582866,census_acs5_population_real
22191,Woodbridge,VA,38.622914,-77.262938,census_acs5_population_real
93306,Bakersfield,CA,35.468193,-118.779751,census_acs5_population_real
85225,Chandler,AZ,33.317828,-111.830541,census_acs5_population_real
75002,Lucas,TX,33.089854,-96.6086,census_acs5_population_real
33311,Fort Lauderdale,FL,26.144208,-80.172785,census_acs5_population_real
77450,Houston,TX,29.748169,-95.736154,census_acs5_population_real
92553,Moreno Valley,CA,33.92335,-117.245333,census_acs5_population_real
06902,Stamford,CT,41.059347,-73.544384,census_acs5_population_real
60085,Waukegan,IL,42.354935,-87.860761,census_acs5_population_real
96797,Royal Kunia,HI,21.40845,-158.017646,census_acs5_population_real
93065,Simi Valley,CA,34.262388,-118.772219,census_acs5_population_real
37075,Hendersonville,TN,36.339969,-86.607922,census_acs5_population_real
75211,Dallas,TX,32.736827,-96.907506,census_acs5_population_real
28277,Charlotte,NC,35.049856,-80.818019,census_acs5_population_real
80015,Centennial,CO,39.628055,-104.793254,census_acs5_population_real
30127,Powder Springs,GA,33.875084,-84.69934,census_acs5_population_real
85364,Yuma,AZ,32.704556,-114.656304,census_acs5_population_real
85383,Peoria,AZ,33.798406,-112.305179,census_acs5_population_real
93536,Lancaster,CA,34.73767,-118.387424,census_acs5_population_real
78046,Laredo,TX,27.385525,-99.389132,census_acs5_population_real
90003,Los Angeles,CA,33.964077,-118.273684,census_acs5_population_real
91730,Rancho Cucamonga,CA,34.100402,-117.581282,census_acs5_population_real
07305,Jersey City,NJ,40.693004,-74.06965,census_acs5_population_real
91706,Irwindale,CA,34.09741,-117.968269,census_acs5_population_real
10977,Chestnut Ridge,NY,41.118914,-74.048154,census_acs5_population_real
78640,Kyle,TX,29.994866,-97.821239,census_acs5_population_real
46307,Crown Point,IN,41.40206,-87.325371,census_acs5_population_real
11218,New York,NY,40.64312,-73.976446,census_acs5_population_real
92105,San Diego,CA,32.740404,-117.089868,census_acs5_population_real
60657,Chicago,IL,41.939411,-87.650704,census_acs5_population_real
20906,Aspen Hill,MD,39.087235,-77.054952,census_acs5_population_real
77375,Tomball,TX,30.094665,-95.586187,census_acs5_population_real
30096,Duluth,GA,33.974302,-84.145384,census_acs5_population_real
84096,Herriman,UT,40.487037,-112.099983,census_acs5_population_real
32218,Jacksonville,FL,30.487842,-81.667693,census_acs5_population_real
77036,Houston,TX,29.699048,-95.536507,census_acs5_population_real
94509,Antioch,CA,37.992003,-121.812566,census_acs5_population_real
11215,New York,NY,40.662688,-73.98674,census_acs5_population_real
33023,Miramar,FL,25.988484,-80.212462,census_acs5_population_real
30281,Stockbridge,GA,33.556897,-84.195159,census_acs5_population_real
19124,Philadelphia,PA,40.017257,-75.095261,census_acs5_population_real
11209,New York,NY,40.621803,-74.03015,census_acs5_population_real
84015,Clearfield,UT,41.120356,-112.060775,census_acs5_population_real
85281,Tempe,AZ,33.42744,-111.934004,census_acs5_population_real
94536,Fremont,CA,37.570508,-121.98125,census_acs5_population_real
30047,Lilburn,GA,33.870125,-84.112322,census_acs5_population_real
20002,Washington,DC,38.905026,-76.983607,census_acs5_population_real
75068,Little Elm,TX,33.177497,-96.952388,census_acs5_population_real
94568,Dublin,CA,37.715966,-121.901141,census_acs5_population_real
07002,Bayonne,NJ,40.662495,-74.110201,census_acs5_population_real
85032,Phoenix,AZ,33.62592,-112.002503,census_acs5_population_real
60614,Chicago,IL,41.922747,-87.647153,census_acs5_population_real
90255,Huntington Park,CA,33.979248,-118.217438,census_acs5_population_real
95123,San Jose,CA,37.244238,-121.831604,census_acs5_population_real
87114,Albuquerque,NM,35.197465,-106.681757,census_acs5_population_real
10701,Yonkers,NY,40.946966,-73.88042,census_acs5_population_real
32828,Alafaya,FL,28.530179,-81.169271,census_acs5_population_real
77095,Houston,TX,29.910049,-95.65884,census_acs5_population_real
28078,Huntersville,NC,35.404779,-80.866541,census_acs5_population_real
32259,Fruit Cove,FL,30.074317,-81.585207,census_acs5_population_real
10469,New York,NY,40.868509,-73.846691,census_acs5_population_real
95687,Vacaville,CA,38.333133,-121.920151,census_acs5_population_real
34711,Clermont,FL,28.52078,-81.753851,census_acs5_population_real
07055,Passaic,NJ,40.857552,-74.129089,census_acs5_population_real
11213,New York,NY,40.671155,-73.936266,census_acs5_population_real
33157,Palmetto Bay,FL,25.607529,-80.343349,census_acs5_population_real
77386,Houston,TX,30.100262,-95.356488,census_acs5_population_real
33012,Hialeah,FL,25.866106,-80.301115,census_acs5_population_real
75071,McKinney,TX,33.245816,-96.63072,census_acs5_population_real
92882,Corona,CA,33.862874,-117.600092,census_acs5_population_real
10463,New York,NY,40.886345,-73.901547,census_acs5_population_real
92021,Harbison Canyon,CA,32.835732,-116.874617,census_acs5_population_real
75228,Dallas,TX,32.824924,-96.679438,census_acs5_population_real
11201,New York,NY,40.6937,-73.989859,census_acs5_population_real
92407,San Bernardino,CA,34.225162,-117.388487,census_acs5_population_real
93230,Hanford,CA,36.29223,-119.622676,census_acs5_population_real
33033,Homestead,FL,25.4789,-80.409102,census_acs5_population_real
11691,New York,NY,40.602096,-73.761794,census_acs5_population_real
91766,Pomona,CA,34.042286,-117.756106,census_acs5_population_real
11706,Bay Shore,NY,40.710632,-73.242913,census_acs5_population_real
90631,La Habra,CA,33.942708,-117.952483,census_acs5_population_real
02301,Brockton,MA,42.078371,-71.042304,census_acs5_population_real
75067,Lewisville,TX,33.016102,-96.998962,census_acs5_population_real
33015,Country Club,FL,25.940571,-80.317442,census_acs5_population_real
29072,Lexington,SC,33.998858,-81.272865,census_acs5_population_real
77373,Spring,TX,30.062169,-95.383966,census_acs5_population_real
94513,Brentwood,CA,37.924899,-121.686724,census_acs5_population_real
94587,Union City,CA,37.590008,-122.075187,census_acs5_population_real
19120,Philadelphia,PA,40.034147,-75.119198,census_acs5_population_real
95624,Elk Grove,CA,38.43415,-121.305874,census_acs5_population_real
75056,The Colony,TX,33.075699,-96.908088,census_acs5_population_real
27519,Cary,NC,35.808392,-78.886546,census_acs5_population_real
95020,Gilroy,CA,37.01621,-121.559418,census_acs5_population_real
90037,Los Angeles,CA,34.00266,-118.287507,census_acs5_population_real
30004,Milton,GA,34.145635,-84.291881,census_acs5_population_real
94541,Hayward,CA,37.673757,-122.087823,census_acs5_population_real
94538,Fremont,CA,37.501368,-121.956753,census_acs5_population_real
29681,Five Forks,SC,34.767679,-82.225003,census_acs5_population_real
32822,Orlando,FL,28.489898,-81.290154,census_acs5_population_real
11434,New York,NY,40.677857,-73.777073,census_acs5_population_real
33186,The Crossings,FL,25.65442,-80.412154,census_acs5_population_real
78253,San Antonio,TX,29.470229,-98.787591,census_acs5_population_real
75098,Wylie,TX,33.014492,-96.534832,census_acs5_population_real
66061,Olathe,KS,38.893755,-94.879968,census_acs5_population_real
95206,Stockton,CA,37.908471,-121.395306,census_acs5_population_real
10023,New York,NY,40.774567,-73.979016,census_acs5_population_real
60641,Chicago,IL,41.946718,-87.746887,census_acs5_population_real
98682,Vancouver,WA,45.67296,-122.483238,census_acs5_population_real
89110,Sunrise Manor,NV,36.173653,-115.055479,census_acs5_population_real
78045,Laredo,TX,27.833815,-99.681424,census_acs5_population_real
89121,Paradise,NV,36.12141,-115.091367,census_acs5_population_real
23462,Virginia Beach,VA,36.836242,-76.145948,census_acs5_population_real
00956,Bayamón zona urbana,PR,18.321137,-66.170419,census_acs5_population_real
20147,Ashburn,VA,39.041947,-77.47813,census_acs5_population_real
11372,New York,NY,40.751719,-73.88367,census_acs5_population_real
85301,Glendale,AZ,33.533729,-112.17854,census_acs5_population_real
20011,Washington,DC,38.952514,-77.022991,census_acs5_population_real
60640,Chicago,IL,41.972872,-87.662604,census_acs5_population_real
11746,Dix Hills,NY,40.814268,-73.362276,census_acs5_population_real
17603,Lancaster,PA,40.030839,-76.330432,census_acs5_population_real
89115,North Las Vegas,NV,36.253702,-115.042936,census_acs5_population_real
00949,Candelaria comunidad,PR,18.409879,-66.227441,census_acs5_population_real
